id,set,theme,title,image_description,size_pinned,fits_spec,cutting,solutions,a4_yield,cost,selling_level,selling,notes
P01,House Number & Street Name,Classic/ornate border,"Fluted-border classic plaque (Etsy, 'hardwork' shop)","Marketing image on a grey background (not a real bin photo): a white double-line scalloped border rectangle with '210' in large serif numerals and 'MANTON DRIVE' beneath, plus 'Approx 190 x 140mm' and 'Set of 4 White' badges overlaid.",190 × 140mm (stated on listing),No,Doable now,"WC, CV","4 at our 100×140mm size, adapted version","~£0.14–0.47/sticker, same as your existing 10 designs, once adapted to a printable colour",Medium-High,Medium-High — the fluted border is a genuine style differentiator vs. the plain single/double line every design in your set uses,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was single-colour direct-on-bin — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Shape is now doable now (rectangle cut, printed border art — no Cricut needed). Colour is the remaining blocker: the original is white ink on the bin's own colour, and your Epson has no white ink — no consumer inkjet does. Printing it on clear vinyl doesn't work either: 'white' just becomes 'no ink', i.e. transparent, so it disappears rather than showing white. Fix: redesign in a printable dark colour (matches your existing palette), or file as a genuine Tier 3 future item — true white-on-clear is a standard UV DTF printer feature (eufyMake E1, already in your Growth Plan)."
P02,House Number & Street Name,House + floral,House silhouette + flowers + banner ribbon,"Grey bin with a white cut-vinyl house silhouette containing '36', flanked by two small flower stems either side, with a curved ribbon banner below reading 'GROVE STREET'.",Not stated — estimated ~140×100mm from proportions on bin photo,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if reinterpreted as a printed design,"As pinned: new adhesive-vinyl material line, not in current cost sheet. Printed version: ~£0.14–0.47/sticker, same as current designs",High,"High — combines two of your already-validated popular categories (house silhouette + floral) into one motif, more elaborate than either of your current single-theme designs (#3, #5)","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin silhouette — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Future product as pinned (landscape silhouette shape, not your portrait rectangle; needs Cricut). Doable now: this is a strong candidate to reinterpret as a printed design — combine your existing house_icon and flower_icon into one composite icon inside the current bordered layout, no new cutting equipment required."
P03,House Number & Street Name,Pet,Cat peeking over the edge,"Two bins (green and dark grey) side by side, each with a peeking cat silhouette (black on green, white on grey) and 'Roger Lane / 16' / 'Millie Street / 16' text beneath.",Not stated — estimated ~120×100mm from bin proportions,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if reinterpreted as a printed design,As pinned: new adhesive-vinyl line. Printed version: ~£0.14–0.47/sticker,High,"High — this is very close to the specific bestselling Etsy cat-silhouette listing flagged in the earlier research; pet-themed bin stickers are a proven category, not a guess","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine fur/facial detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Future product as pinned (needs Cricut for the fine facial detail). BUT: this is printed in solid black on a green bin with no background — exactly the 'print on clear vinyl, guillotine-trim to a rectangle' technique you proposed for P01, and it actually works here because black is a real printable colour (unlike P01's white). Genuinely doable now as a black-ink-on-clear-vinyl rectangle, once simplified enough for guillotine/corner-punch edges rather than a full contour cut of the cat's outline."
P04,House Number & Street Name,Classic/ornate border,Ornate oval crest with bell/leaf accents,"Green bin with a white cut-vinyl oval crest, double-line border, small bell/leaf accents either side, reading 'DENZIL' above '296' above 'ROAD'.",Not stated — estimated ~150×110mm oval,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec if reinterpreted as a printed design,As pinned: new adhesive-vinyl line. Printed version: ~£0.14–0.47/sticker,Medium,"Medium — a distinctive crest shape, but closer to a variation on your existing Classic design (#1) than a genuinely new category","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin oval crest — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Future product as pinned (oval, not rectangle; needs Cricut). Lowest priority of this batch to adapt — the closest of the four to something you already have covered."
P05,House Number & Street Name,House + floral,Realistic daisy + number + road name,"Green bin in a garden setting, with a realistic full-colour white daisy graphic and '123' / 'Custom Road' in white text beneath it, no border.",364mm high (stated),No,Doable now,"WC, CV","N/A as pinned (way past our 140mm height, irregular shape). 4 at our spec if reinterpreted","As pinned: new material/contour-cut line. Adapted: ~£0.14–0.47/sticker like your other designs, but a realistic full-colour flower uses more ink than your current flat-vector floral icon (#3) — worth a small per-unit bump once you test print",High,"High — realistic, photo-style flowers tend to outperform flat vector ones on Etsy for this kind of personalised gift-feel product","UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was irregular contour + fine floral detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Future product as pinned (364mm is 2.6x your sticker height; irregular contour needs Cricut). Doable now: swap your current flat-vector flower icon (#3) for a realistic full-colour daisy graphic (photo or AI-generated) printed inside your existing bordered rectangle — same production method, just richer artwork."
P06,House Number & Street Name,Classic/ornate border,"Floral wreath border, shown at 3 size options ('Size Guide')","'Size Guide' marketing image: three black bins side by side, each showing the same white circular floral wreath design containing '64 / Oakley Close', labelled 15cm/20cm/30cm wide.",15cm / 20cm / 30cm wide (3 explicit size tiers shown),No,Doable now,"WC, CV","N/A as pinned — circular, larger than our rectangle, not a like-for-like comparison","As pinned: new vinyl material line, and this specific wreath detail is genuinely hard to weed cleanly even with a Cricut — expect longer production time per unit than your flat designs",High,High — directly validates the 'decorative border as premium differentiator' item already in your Growth Plan,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was fine wreath detail — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. This one is as much a market-research data point as a design: it confirms multiple size tiers (here 15/20/30cm) is a normal competitor pattern — matches what Competitor Research already found. Treat as future/needs-Cricut for the wreath shape itself; your closest existing relative is #9 Four-corner flourish, a simpler vector stand-in for the same idea."
P07,House Number & Street Name,Out of scope — not a sticker,"Solar-illuminated house sign, Golden Retriever design","Product photo of a black wall-mounted solar light fixture with an integrated plaque showing a full-colour Golden Retriever illustration, '98', and 'GOLDEN CLOSE' in white text.",240 × 145mm (stated),No,Needs Cricut,NA,N/A — not a printed/cut product,"N/A — this would be a sourced/resold hardware item, not something made with your printer, laminator, or cutting tools",N/A,"N/A for your current business — different product category entirely (electronics/hardware, not stationery/vinyl)","Flagging clearly: this is a solar house-number light, not a bin sticker — out of scope for your equipment and current business model, not just 'needs Cricut'. The one transferable idea: a realistic pet-breed portrait (rather than a flat icon) paired with number + street name on a dark background is a strong style reference for a future, more detailed version of your paw-print design (#10)."
P08,House Number & Street Name,Minimal,"Borderless minimal text, shown across a 3-bin (general/recycling/food) set","Three bins with different coloured lids (green/yellow/red), each showing '37 MARINE DRIVE' in small thin white sans-serif text, no border, no icon.","Not stated — text appears small relative to bin, estimated ~20–30mm cap height",No,Doable now,"WC, CV",N/A as pinned,As pinned: new vinyl material line,Medium,Medium for the visual style alone — it's a smaller niche already covered conceptually by your Minimal design (#2). High for the underlying idea it demonstrates (see notes),"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin, no border — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Two separate ideas bundled in this pin: (1) the borderless text-only look would mean breaking the 'every sticker gets a border' rule you set earlier — treat as a deliberate one-off exception if you want it, not a new default. (2) The real value here is the 3-lid-colour set (general/recycling/food) — this is direct market validation for the bin_type field already built into design #4 (Recycling-icon informational). I'd prioritise building a matching 3-sticker bundle around #4 over recreating this exact borderless look."
P09a,House Number & Street Name,Minimal,"'64 Oakley Close', number + underline + street, no border (white/gold colourway)","Dark green and grey bins side by side, white text '64 / Oakley Close' with a thin underline, no border, shown in white and gold colour variants.",Not stated — estimated ~150×110mm from proportions,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec once a border is added — this is essentially your Minimal design (#2),As pinned: new vinyl line. As printed with border added: same ~£0.14–0.47/sticker as #2 already,High,High — see note: this exact layout keeps reappearing across sellers,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin, no border — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Duplicate design to P09b, different bin colours — grouped under one ID. This composition (number, underline, street name, no border) has now shown up 3 times across your uploads (P08, P09a, P09b) — strong signal this specific layout is a common bestseller pattern, not one seller's quirk. It's already covered by your Minimal design (#2), which is the same thing plus a border. Worth considering an intentional borderless variant of #2 given how often this exact format appears, and the gold accent option here reinforces that colour choice (not just white/black) is a real market expectation."
P09b,House Number & Street Name,Minimal,"'64 Oakley Close', number + underline + street, no border (black/orange colourway)","Black and orange/brown bins, the same '64 / Oakley Close' text-plus-underline design in white, no border.",Not stated — estimated ~150×110mm from proportions,No,Doable now,"WC, CV",N/A as pinned. 4 at our spec once a border is added,Same as P09a,High,High — see P09a,"UPDATED per the P44 insight: the only reason this was marked 'needs Cricut' was direct-on-bin, no border — a cut-vinyl limitation (weeding), not a printing one. Printed as ink on your standard rectangle card and guillotine-trimmed, fine detail and colour cost nothing extra. Reclassified to doable now. Same design as P09a, different bin-colour photos — see P09a for full analysis. Kept as a separate sub-ID rather than discarded, since seeing it applied across 4 different bin colours (green, grey, black, orange) is itself useful evidence that this design reads well regardless of bin colour, unlike white-only designs which could disappear on a light-coloured bin."
